PageId,TagName,Tag Content
POTSALESET,POTSALESET_Applies_discount_limits_in_order_User_Ro,Applies discount limits in order: User -> Role -> Store. The first available limit is used.
POTSALESET,POTSALESET_tax_amount_include_excluded_service,"Include or exclude taxes for services, memberships, gift vouchers, packages, prepaid"
POTSALESET,POTSALESET_Delete_Confirmation,Delete Confirmation
POTSALESET,POTSALESET_Configure_multiple_payment_methods,Configure multiple payment methods
POTSALESET,GSTSETTINGACTIONDEACTIVE,Deactivate
POTSALESET,POTSALESET_Reason,Reason
POTSALESET,POTSALESET_Collect_the_payment_code_details_during_checkout,Collect the payment code details during checkout
POTSALESET,POTSALESET_29,Please select any one tax
POTSALESET,POTSALESET_INVALID_DATA_NOT_ALLOWED,Invalid Data! These Values are not allowed.
POTSALESET,POTSALESET_25,Add New Tax Group
POTSALESET,POTSALESET_ITEM_PRICE_ADJUSTMENT_SETTINGS_UPDATED_SUCCESSFULLY,Item price adjustment settings updated successfully
POTSALESET,POTSALESET_Discount_Limit,Discount Limit
POTSALESET,POTSALESET_26,Tax Group Name
POTSALESET,POTSALESET_27,Please enter valid tax group name
POTSALESET,POTSALESET_Make_it_mandatory,Make it mandatory
POTSALESET,POTSALESET_28,Tax Value (%)
POTSALESET,POTSALESET_21,Please enter valid tax name
POTSALESET,POTSALESET_22,Tax Percentage
POTSALESET,POTSALESET_23,Please enter valid tax percentage
POTSALESET,POTSALESET_24,Cancel
POTSALESET,POTSALESET_YEARLY,Yearly
POTSALESET,POTSALESET_Discount_settings_saved_successfully,Discount settings saved successfully
POTSALESET,POTSALESET_Cancel,Cancel
POTSALESET,POTSALESET_20,Tax Name
POTSALESET,POTSALESET_Control_how_much_discount_your_user_can,Control how much discount your user can apply during billing.
POTSALESET,POTSALESET_INVOICE_PREFIX_UPDATED_SUCCESSFULLY,Invoice prefix updated successfully
POTSALESET,POTSALESET_Control_how_discounts_are_applied_across,Control how discounts are applied across the entire store during checkout.
POTSALESET,POTSALESET_Set_discount_limits_for_individual_staff,Set discount limits for individual staff/admin users to control the maximum discount they can apply at checkout.
POTSALESET,POTSALESET_Deactivate_Confirmation,Deactivate Confirmation
POTSALESET,POTSALESET_User_discount_limits_saved,User discount limits saved
POTSALESET,POTSALESET_Tax_name,Tax name
POTSALESET,INVOICE_PREVIEW_DESC,"Preview the invoice to review the details, layout, and formatting"
POTSALESET,POTSALESET_Tax_Settings_Info,"Different countries use different tax systems. Add your own tax name here, and it will automatically appear wherever tax details are captured or shown in Add customer, Customer Segmentation, invoices, POS bill and Product supplier related screens."
POTSALESET,POTSALESET_Item_price_adjustments,Item price adjustments
POTSALESET,POTSALESET_APRIL,April
POTSALESET,POTSALESET_INVOICE_SEQUENCE_UPDATED_SUCCESSFULLY,Invoice sequence updated successfully
POTSALESET,POTSALESET_18,"Enable taxes (You can apply only one tax component for the services and products. In order to apply more than one tax, create a tax group and choose appropriately)."
POTSALESET,POTSALESET_No_reasons_found,No reasons found
POTSALESET,POTSALESET_19,Add New Tax
POTSALESET,POTSALESET_Tax_Group_Assigned_Error,This tax is assigned to a tax group and cannot be deleted.
POTSALESET,POTSALESET_TO_ADD,to add a new one
POTSALESET,POTSALESET_15,"Allow staff to edit the price for the selected items like (service, product, package)."
POTSALESET,POTSALESET_16,Apply discount before tax. This is applicable only for services and products sales.
POTSALESET,POTSALESET_Reset_Monthy_Yearly,Reset (monthly or yearly)
POTSALESET,POTSALESET_Reset_invoice_sequence_instantly,Reset invoice sequence instantly
POTSALESET,POTSALESET_10,Save
POTSALESET,POTSALESET_12,Round-Off the invoice value to the nearest whole number.
POTSALESET,POTSALESET_13,"Allow billing for the past dates, example user can create invoice for "
POTSALESET,POTSALESET_PRODUCT_TAX_AMOUNT_IS_EXCLUDE_FROM,Tax amount is exclude from the unit price of any saleable item in product
POTSALESET,POTSALESET_Tax_group_name,Tax group name
POTSALESET,POTSALESET_Payment_Methods,Payment Methods
POTSALESET,POTSALESET_PosTour_Desc_4,Configure flexible and multiple payment methods.
POTSALESET,POTSALESET_PosTour_Desc_3,"Define tax rates, exemptions, and categories for accurate calculations."
POTSALESET,POTSALESET_PosTour_Desc_2,"Configure round-off settings, past billing preferences and edit permissions."
POTSALESET,POTSALESET_Get_Started,Get Started
POTSALESET,GSTSETTINGLISTCREATEDON,Added on: 
POTSALESET,POTSALESET_PosTour_Desc_1,Customize invoices to display relevant business information.
POTSALESET,POTSALESET_Invoice_Settings_Desc,Configure general settings for the invoice
POTSALESET,POTSALESET_Select_adminstaff_members,Select admin/staff members
POTSALESET,POTSALESET_Applies_the_highest_discount_available_a,"Applies the highest discount available across user, role, and store limits."
POTSALESET,GSTSETTINGACTIONCONFIRM,Confirmation
POTSALESET,POTSALESET_Point_of_Sale,Point of Sale
POTSALESET,POTSALESET_Store_discount_limit_saved,Store discount limit saved
POTSALESET,POTSALESET_JULY,July
POTSALESET,POTSALESET_Tax_Configuration,Tax Configuration
POTSALESET,GSTSETTINGADDLEBEL,Add New GST Number
POTSALESET,POTSALESET_Enter_the_tax_percentage,Enter the tax percentage
POTSALESET,POTSALESET_Enter_the_reason_for_deletion,Enter the reason for deletion
POTSALESET,POTSALESET_AUGUST,August
POTSALESET,POTSALESET_Learn_More,Learn More
POTSALESET,POTSALESET_CHOOSE_LOGO_POSITION,Select the desired logo position
POTSALESET,POTSALESET_Enter_a_valid_payment_method,Enter a valid payment method
POTSALESET,SAMPLE_CASHIER_NAME_LABEL,Cashier Name
POTSALESET,POTSALESET_Each_item_can_have_only_one_tax_component,"Each item can have only one tax component. For multiple taxes, create a tax group and select the appropriate options."
